year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,2,20,-0.036,0.039,0.172,0.092,-0.012,0.204,-0.179,-0.361,-0.531,0.086,0.022,0.057,0.641,-0.122,0.482,0.173,0.471
1988,2,21,-0.042,0.092,0.219,0.304,0.145,0.647,0.123,0.03,-0.331,-0.106,-0.294,0.108,0.636,0.175,0.449,0.019,0.154
1988,2,22,0.087,0.264,0.437,0.635,0.83,0.962,0.364,0.548,0.874,0.768,0.467,0.293,0.827,0.208,0.923,0.462,0.523
1988,2,23,-0.076,-0.047,0.237,0.278,-0.018,0.359,-0.208,0.053,0.132,0.279,0.152,0.565,0.664,0.089,0.217,-0.077,0.112
1988,2,24,-0.106,0.028,0.16,0.145,-0.247,-0.08,-0.314,-0.209,-0.139,0.049,-0.017,0.235,0.425,0.038,0.258,-0.003,-0.051
1988,2,25,0.101,0.155,0.25,0.291,-0.029,0.007,-0.169,0.002,0.058,0.211,-0.019,0.276,0.316,-0.04,0.098,0.013,-0.037
1988,2,26,-0.032,-0.194,-0.04,0.189,0.029,0.241,-0.096,-0.084,0.081,0.306,0.17,0.173,0.276,-0.095,0.134,0.055,0.007
1988,2,27,-0.199,-0.483,-0.641,-0.533,-0.802,-0.32,-0.176,-0.218,-0.136,0.271,0.156,0.281,0.291,0.204,0.392,0.241,0.18
1988,2,28,-0.138,-0.303,-0.362,-0.521,-0.678,-0.832,-0.838,-0.72,-0.994,-0.162,-0.201,0.199,0.101,-0.009,0.241,0.146,0.162
1988,2,29,-0.096,-0.101,-0.353,-0.517,-0.816,-0.646,-0.54,-0.315,-0.455,-0.106,-0.126,0.095,-0.021,-0.071,-0.009,-0.022,-0.076
1988,3,1,0.198,0.253,0.177,0.906,0.989,1.337,0.821,1.154,0.739,0.521,0.197,0.123,0.042,-0.112,-0.106,-0.158,-0.101
1988,3,2,1.555,1.471,1.379,2.426,2.576,2.599,1.841,1.879,2.007,1.074,0.333,0.142,0.082,-0.156,-0.059,-0.163,-0.437
1988,3,3,0.003,0.303,0.334,0.83,1.286,1.664,1.048,0.691,1.136,0.733,0.293,0.722,0.488,0.173,0.509,0.284,0.216
1988,3,4,-0.147,-0.031,0.009,0.509,1.216,1.36,0.703,0.077,0.287,0.246,-0.256,0.135,-0.18,-0.485,-0.541,-0.6,-0.658
1988,3,5,-0.018,0.361,0.324,0.603,1.204,1.09,0.456,-0.22,0.504,-0.17,-0.228,-0.269,-0.634,-1.028,-1.264,-1.069,-0.982
1988,3,6,0.079,0.26,0.586,0.982,0.972,1.209,0.598,-0.157,0.61,0.24,0.38,0.497,0.447,0.132,0.343,0.194,-0.076
1988,3,7,0.13,0.249,0.156,0.514,0.54,1.303,1.211,0.943,1.604,1.067,0.983,0.79,0.813,0.257,0.429,0.193,0.008
1988,3,8,-0.128,0.092,0.095,0.015,-0.005,0.194,0.773,0.298,0.973,0.34,0.319,0.537,0.331,0,0.149,0.032,-0.068
1988,3,9,0.197,0.31,0.37,1.134,2.321,2.47,2.128,1.227,1.88,1.302,0.873,1.131,0.7,0.056,0.626,0.553,0.419
1988,3,10,0.922,0.775,1.095,1.505,1.95,2.085,1.865,1.367,2.295,1.906,1.374,1.163,0.603,0.24,0.347,0.256,0.205
1988,3,11,0.531,0.511,0.45,0.844,0.792,0.885,1.052,0.204,0.642,0.773,0.511,0.959,0.834,0.239,0.506,0.203,0.319
1988,3,12,-0.046,0.198,0.249,0.217,-0.061,-0.248,0.389,0.103,-0.23,0.138,0.001,0.735,0.738,0.26,0.6,0.471,0.418
1988,3,13,0.155,0.216,0.068,0.136,0.208,-0.389,0.595,0.062,-0.156,0.595,0.3,1.097,1.062,0.448,0.908,0.41,0.56
1988,3,14,0.389,0.161,0.051,0.452,0.508,0.095,0.707,0.359,0.032,0.845,0.87,1.131,1.126,0.421,0.564,0.29,0.456
1988,3,15,0.439,0.338,0.128,1.044,0.721,0.311,0.468,0.463,0.386,0.489,0.758,0.694,0.84,0.154,0.398,0.096,0.227
1988,3,16,0.505,0.407,0.233,0.631,0.313,-0.033,0.176,0.146,0.39,-0.222,0.114,0.183,0.714,-0.124,0.108,0.108,-0.028
1988,3,17,0.623,0.302,0.265,0.289,0.478,0.343,0.52,0.067,0.845,0.345,0.059,0.086,0.85,-0.026,0.366,0.233,0.163
1988,3,18,0.155,0.043,-0.006,0.11,0.06,-0.1,0.01,-0.37,-0.303,-0.72,-0.87,-0.943,-0.102,-0.485,-0.197,-0.19,-0.064
1988,3,19,0.213,0.114,0.029,0.172,0.294,0.315,0.419,0.224,0.439,-0.008,-0.149,-0.397,0.295,-0.364,-0.268,-0.385,-0.418
1988,3,20,0.178,0.086,0.087,0.157,0.509,0.797,1.004,0.872,1.369,0.733,0.32,0.197,0.633,-0.297,-0.356,-0.449,-0.553
1988,3,21,0.22,0.094,0.484,0.741,1.199,1.079,0.691,-0.11,0.959,-0.031,-0.32,-0.534,-0.012,-0.526,-0.406,-0.114,-0.049
1988,3,22,0.516,0.237,0.433,0.709,0.891,0.661,0.312,-0.411,0.266,-0.536,-1.344,-2.189,-2.212,-2.186,-2.613,-1.952,-1.951
1988,3,23,0.486,0.263,0.539,1.22,1.577,1.151,0.543,0.076,0.655,0.088,-0.348,-0.713,-0.141,-0.329,-0.792,0.348,-0.041
1988,3,24,0.509,0.222,0.582,1.45,2.54,2.534,2.347,2.154,2.616,1.209,0.212,0.009,-0.067,-0.428,-0.767,-0.275,-0.283
1988,3,25,0.1,0.017,0.163,0.518,1.243,0.923,1.877,1.209,2.332,1.374,0.551,0.479,0.337,-0.206,-0.124,-0.56,-0.613
1988,3,26,0.015,-0.056,0.012,0.24,0.861,0.299,1.441,1.161,2.62,1.941,0.992,0.83,0.646,-0.02,0.23,0.613,0.24
1988,3,27,0.161,0.161,0.516,1.927,3.721,4.083,4.541,4.771,6.979,5.745,4.207,2.748,1.63,0.192,1.055,0.823,1.743
1988,3,28,0.239,0.086,0.397,0.9,1.498,1.568,2.598,2.527,5.526,4.912,3.52,2.77,1.945,0.227,0.492,-0.105,0.32
1988,3,29,0.206,0.142,0.135,0.355,1.074,0.436,2.313,1.438,2.894,2.236,1.735,1.977,1.715,0.247,0.358,0.268,1.191
1988,3,30,0.4,0.292,0.682,1.396,2.265,2.161,3.12,2.674,4.385,3.588,3.137,2.554,1.849,0.233,0.897,0.082,0.452
1988,3,31,0.312,0.259,0.152,-0.089,-0.201,-0.856,0.458,-0.795,0.974,0.962,1.509,1.718,1.837,0.204,0.723,0.161,0.185
1988,4,1,0.203,0.176,0.154,-0.058,-0.339,-1.04,-0.23,-1.186,-1.027,0.179,0.861,0.83,1.222,-0.269,0.436,0.054,0.218
1988,4,2,0.452,0.329,0.037,-0.028,-0.259,-0.449,0.358,-0.772,-0.478,-0.377,-0.711,-0.692,-0.453,-1.34,-1.891,-2.296,-2.095
1988,4,3,0.71,0.392,0.193,0.622,0.662,0.678,0.425,-0.645,0.175,0.129,-0.314,-0.158,0.062,-0.402,-0.321,0.274,-0.198
1988,4,4,0.522,0.421,0.45,1.218,1.498,1.904,1.389,0.815,1.572,1.132,0.729,0.911,1.206,0.118,-0.104,-0.004,0.07
1988,4,5,0.154,-0,-0.03,0.407,0.533,1.037,1.356,0.891,1.962,0.86,0.292,0.185,-0.171,-1.042,-1.391,-1.406,-1.918
1988,4,6,0.507,0.071,-0.224,-0.313,0.201,-0.332,0.583,-0.616,1.322,0.455,0.043,0.867,0.269,-0.331,0.083,0.565,0.17
1988,4,7,0.618,0.398,0.451,0.725,2.344,1.9,1.943,0.886,2.103,1.015,0.379,0.862,0.634,-0.007,0.527,0.35,0.154
